"wtw_id","wtw_code","wtw_name","wtw_name_chi","phase_1","phase_2","phase_3","ods_update_time","ods_load_time"
14,荃灣,荃灣,荃灣,false,false,false,2026-04-16 01:10:34.773,2026-03-05 19:29:02.525
3,RH,Red Hill,紅山,true,true,true,2026-04-16 01:10:34.773,2025-11-17 20:21:47.747
4,CS,Cheung Sha,長沙,true,true,true,2026-04-16 01:10:34.773,2025-11-17 20:21:47.747
7,PK,Pak Kong,北港,true,false,false,2026-04-16 01:10:34.773,2025-11-17 20:21:47.747
11,深井,深井,深井,false,false,false,2026-04-16 01:10:34.773,2026-03-05 19:29:02.525
10,沙田,沙田,沙田,false,false,false,2026-04-16 01:10:34.773,2026-03-05 19:29:02.525
16,油柑頭,油柑頭,油柑頭,false,false,false,2026-04-16 01:10:34.773,2026-03-05 19:29:02.525
1,SHW,Siu Ho Wan,小蠔灣,true,true,true,2026-04-16 01:10:34.773,2025-11-17 20:21:47.747
2,SMB,Silver Mine Bay,銀鑛灣,true,true,true,2026-04-16 01:10:34.773,2025-11-17 20:21:47.747
9,牛潭尾,牛潭尾,牛潭尾,false,false,false,2026-04-16 01:10:34.773,2026-03-05 19:29:02.525
15,屯門,屯門,屯門,false,false,false,2026-04-16 01:10:34.773,2026-03-05 19:29:02.525
5,TO,Tai O,大澳,true,true,true,2026-04-16 01:10:34.773,2025-11-17 20:21:47.747
6,MOS,Ma On Shan,馬鞍山,true,false,false,2026-04-16 01:10:34.773,2025-11-17 20:21:47.747
13,TP,Tai Po,大埔,true,false,false,2026-04-16 01:10:34.773,2026-03-05 19:29:02.525
8,凹頭,凹頭,凹頭,false,false,false,2026-04-16 01:10:34.773,2026-03-05 19:29:02.525
12,SS,Sheung Shui,上水,true,false,false,2026-04-16 01:10:34.773,2026-03-05 19:29:02.525
